id,kode_provinsi,nama_provinsi,jumlah_pengeluaran_per_kapita,satuan,tahun
279,1700,BENGKULU,10162.0,RIBU RUPIAH,2018
280,1800,LAMPUNG,9858.0,RIBU RUPIAH,2018
281,1900,KEP. BANGKA BELITUNG,12666.0,RIBU RUPIAH,2018
282,2100,KEPULAUAN RIAU,13976.0,RIBU RUPIAH,2018
283,3100,DKI JAKARTA,18128.0,RIBU RUPIAH,2018
284,3200,JAWA BARAT,10790.0,RIBU RUPIAH,2018
285,3300,JAWA TENGAH,10777.0,RIBU RUPIAH,2018
286,3400,D I YOGYAKARTA,13946.0,RIBU RUPIAH,2018
287,3500,JAWA TIMUR,11380.0,RIBU RUPIAH,2018
288,3600,BANTEN,11994.0,RIBU RUPIAH,2018
289,5100,BALI,13886.0,RIBU RUPIAH,2018
290,5200,NUSA TENGGARA BARAT,10284.0,RIBU RUPIAH,2018
291,5300,NUSA TENGGARA TIMUR,7566.0,RIBU RUPIAH,2018
292,6100,KALIMANTAN BARAT,8860.0,RIBU RUPIAH,2018
293,6200,KALIMANTAN TENGAH,10931.0,RIBU RUPIAH,2018
294,6300,KALIMANTAN SELATAN,12062.0,RIBU RUPIAH,2018
295,6400,KALIMANTAN TIMUR,11917.0,RIBU RUPIAH,2018
296,6500,KALIMANTAN UTARA,8943.0,RIBU RUPIAH,2018
297,7100,SULAWESI UTARA,10731.0,RIBU RUPIAH,2018
298,7200,SULAWESI TENGAH,9488.0,RIBU RUPIAH,2018
299,7300,SULAWESI SELATAN,10814.0,RIBU RUPIAH,2018
300,7400,SULAWESI TENGGARA,9262.0,RIBU RUPIAH,2018
301,7500,GORONTALO,9839.0,RIBU RUPIAH,2018
302,7600,SULAWESI BARAT,9051.0,RIBU RUPIAH,2018
303,8100,MALUKU,8721.0,RIBU RUPIAH,2018
304,8200,MALUKU UTARA,7980.0,RIBU RUPIAH,2018
305,9100,PAPUA BARAT,7816.0,RIBU RUPIAH,2018
306,9400,PAPUA,7159.0,RIBU RUPIAH,2018
307,1100,ACEH,9603.0,RIBU RUPIAH,2019
308,1200,SUMATERA UTARA,11115.0,RIBU RUPIAH,2019
309,1300,SUMATERA BARAT,10925.0,RIBU RUPIAH,2019
310,1400,RIAU,11255.0,RIBU RUPIAH,2019
311,1500,JAMBI,10592.0,RIBU RUPIAH,2019
312,1600,SUMATERA SELATAN,10937.0,RIBU RUPIAH,2019
313,1700,BENGKULU,10409.0,RIBU RUPIAH,2019
314,1800,LAMPUNG,10114.0,RIBU RUPIAH,2019
315,1900,KEP. BANGKA BELITUNG,12959.0,RIBU RUPIAH,2019
316,2100,KEPULAUAN RIAU,14466.0,RIBU RUPIAH,2019
317,3100,DKI JAKARTA,18527.0,RIBU RUPIAH,2019
318,3200,JAWA BARAT,11152.0,RIBU RUPIAH,2019
319,3300,JAWA TENGAH,11102.0,RIBU RUPIAH,2019
320,3400,D I YOGYAKARTA,14394.0,RIBU RUPIAH,2019
321,3500,JAWA TIMUR,11739.0,RIBU RUPIAH,2019
322,3600,BANTEN,12267.0,RIBU RUPIAH,2019
323,5100,BALI,14146.0,RIBU RUPIAH,2019
324,5200,NUSA TENGGARA BARAT,10640.0,RIBU RUPIAH,2019
325,5300,NUSA TENGGARA TIMUR,7769.0,RIBU RUPIAH,2019
326,6100,KALIMANTAN BARAT,9055.0,RIBU RUPIAH,2019
327,6200,KALIMANTAN TENGAH,11236.0,RIBU RUPIAH,2019
328,6300,KALIMANTAN SELATAN,12253.0,RIBU RUPIAH,2019
329,6400,KALIMANTAN TIMUR,12359.0,RIBU RUPIAH,2019
330,6500,KALIMANTAN UTARA,9343.0,RIBU RUPIAH,2019
331,7100,SULAWESI UTARA,11115.0,RIBU RUPIAH,2019
332,7200,SULAWESI TENGAH,9604.0,RIBU RUPIAH,2019
333,7300,SULAWESI SELATAN,11118.0,RIBU RUPIAH,2019
334,7400,SULAWESI TENGGARA,9436.0,RIBU RUPIAH,2019
335,7500,GORONTALO,10075.0,RIBU RUPIAH,2019
336,7600,SULAWESI BARAT,9235.0,RIBU RUPIAH,2019
337,8100,MALUKU,8887.0,RIBU RUPIAH,2019
338,8200,MALUKU UTARA,8308.0,RIBU RUPIAH,2019
339,9100,PAPUA BARAT,8125.0,RIBU RUPIAH,2019
340,9400,PAPUA,7336.0,RIBU RUPIAH,2019
341,1100,ACEH,9492.0,RIBU RUPIAH,2020
342,1200,SUMATERA UTARA,10420.0,RIBU RUPIAH,2020
343,1300,SUMATERA BARAT,10733.0,RIBU RUPIAH,2020
344,1400,RIAU,10675.0,RIBU RUPIAH,2020
345,1500,JAMBI,10392.0,RIBU RUPIAH,2020
346,1600,SUMATERA SELATAN,10652.0,RIBU RUPIAH,2020
347,1700,BENGKULU,10380.0,RIBU RUPIAH,2020
348,1800,LAMPUNG,9982.0,RIBU RUPIAH,2020
349,1900,KEP. BANGKA BELITUNG,12794.0,RIBU RUPIAH,2020
350,2100,KEPULAUAN RIAU,14209.0,RIBU RUPIAH,2020
351,3100,DKI JAKARTA,18227.0,RIBU RUPIAH,2020
352,3200,JAWA BARAT,10845.0,RIBU RUPIAH,2020
353,3300,JAWA TENGAH,10930.0,RIBU RUPIAH,2020
354,3400,D I YOGYAKARTA,14015.0,RIBU RUPIAH,2020
355,3500,JAWA TIMUR,11601.0,RIBU RUPIAH,2020
356,3600,BANTEN,11964.0,RIBU RUPIAH,2020
357,5100,BALI,13929.0,RIBU RUPIAH,2020
358,5200,NUSA TENGGARA BARAT,10351.0,RIBU RUPIAH,2020
359,5300,NUSA TENGGARA TIMUR,7598.0,RIBU RUPIAH,2020
360,6100,KALIMANTAN BARAT,8930.0,RIBU RUPIAH,2020
361,6200,KALIMANTAN TENGAH,11154.0,RIBU RUPIAH,2020
362,6300,KALIMANTAN SELATAN,12032.0,RIBU RUPIAH,2020
363,6400,KALIMANTAN TIMUR,11728.0,RIBU RUPIAH,2020
364,6500,KALIMANTAN UTARA,8756.0,RIBU RUPIAH,2020
365,7100,SULAWESI UTARA,10791.0,RIBU RUPIAH,2020
366,7200,SULAWESI TENGAH,9335.0,RIBU RUPIAH,2020
367,7300,SULAWESI SELATAN,11079.0,RIBU RUPIAH,2020
368,7400,SULAWESI TENGGARA,9331.0,RIBU RUPIAH,2020
369,7500,GORONTALO,10020.0,RIBU RUPIAH,2020
370,7600,SULAWESI BARAT,9168.0,RIBU RUPIAH,2020
371,8100,MALUKU,8732.0,RIBU RUPIAH,2020
372,8200,MALUKU UTARA,8032.0,RIBU RUPIAH,2020
373,9100,PAPUA BARAT,8086.0,RIBU RUPIAH,2020
374,9200,PAPUA,6954.0,RIBU RUPIAH,2020
375,1100,ACEH,9572.0,RIBU RUPIAH,2021
376,1200,SUMATERA UTARA,10499.0,RIBU RUPIAH,2021
377,1300,SUMATERA BARAT,10790.0,RIBU RUPIAH,2021
378,1400,RIAU,10736.0,RIBU RUPIAH,2021
379,1500,JAMBI,10588.0,RIBU RUPIAH,2021
380,1600,SUMATERA SELATAN,10662.0,RIBU RUPIAH,2021
381,1700,BENGKULU,10487.0,RIBU RUPIAH,2021
382,1800,LAMPUNG,10038.0,RIBU RUPIAH,2021
383,1900,KEP. BANGKA BELITUNG,12819.0,RIBU RUPIAH,2021
384,2100,KEPULAUAN RIAU,14122.0,RIBU RUPIAH,2021
385,3100,DKI JAKARTA,18520.0,RIBU RUPIAH,2021
386,3200,JAWA BARAT,10934.0,RIBU RUPIAH,2021
387,3300,JAWA TENGAH,11034.0,RIBU RUPIAH,2021
388,3400,D I YOGYAKARTA,14111.0,RIBU RUPIAH,2021
389,3500,JAWA TIMUR,11707.0,RIBU RUPIAH,2021
390,3600,BANTEN,12033.0,RIBU RUPIAH,2021
391,5100,BALI,13820.0,RIBU RUPIAH,2021
392,5200,NUSA TENGGARA BARAT,10377.0,RIBU RUPIAH,2021
393,5300,NUSA TENGGARA TIMUR,7554.0,RIBU RUPIAH,2021
394,6100,KALIMANTAN BARAT,8974.0,RIBU RUPIAH,2021
395,6200,KALIMANTAN TENGAH,11182.0,RIBU RUPIAH,2021
396,6300,KALIMANTAN SELATAN,12143.0,RIBU RUPIAH,2021
397,6400,KALIMANTAN TIMUR,12116.0,RIBU RUPIAH,2021
